userName,score,content,at,sentiment
Ricky Ricky,1,hrs nya ad bandara baru dan tolong jangan mahal2 juga jika mau buka bandara baru terus buatin bandara jakarta juga dan Pontianak biar enak main nya dan semakin ramai yg main game ini,2025-09-23 06:35:43,negatif
Muchamad Echsan,5,Permainan yang semakin menarik dan seru. Besar harapan dapat ditambahkan Bandara CGK Jakarta pada masa mendatang. Terima kasih. ♥️ ✈️,2025-09-22 14:20:32,positif
Sarip 35,2,"Gamenya Bagus kasih Ranting 2/10 Terutama grafik yg bagus 2/10,sedangkan 3/10 BANYAK BUG&Ngelek Pas main tiba tiba hp gw crash dan gak bisa di servis tolong uptdetin bugnya biar gak ngecrash gitu pas main.",2025-09-22 12:54:14,negatif
rafa nur,4,sudah bagus dalam grafik dan visual hanya saja kurang aktif bandara nya seperti tidak banyak mobil lalu lalang dan aktifitas manusia nya di sekitarnya Bandara dan Masi ada beberapa bug mohon update nya seperti ini dan fix bug nya🙏,2025-09-22 11:02:14,positif
Ronaldhi Agasta,5,"okey game sudah bagus, permainan tambah menarik tetapi untuk menurut ku ada beberapa hal yang belum terlihat keren 1. grafiknya kurang kuat tolong di tingkatkan lagi 2.apakah game ini bisa membuat bandara yang berasal dari Indonesia 3.ada beberapa sistem runway yang kurang adil seperti bandara bkk 3 runway (2 runway buat landing dan 1 runway buat take of) semua bandara yang memiliki lebih dari 2 runway saya harap semua runway di semua bandara aktif untuk take of dan landing terimakasih",2025-09-22 10:12:31,positif
Berkah Putra,3,"sumpah ini game kikir bener. dulu klo petugas selesai pesawat bisa langsung ke runway dan takeoff, sekarang harus di konfirmasi manual sama player.dan klo mau auto seperti itu harus bayar pake pesawat putih dan waktunya terbatas, itu fitur bagus malah diduitin. dulu ga terbatas maskapai yg bisa ke airport, selama ada dollar masih bisa masuk. sekarang dibatesin dan klo kuota nya sudah habis harus beli pesawat emas baru bisa nambah",2025-09-22 05:25:55,netral
ALFIANTA NUGRAHA,5,makasih yaaa admin sudah perbaiki cepat mau download maps bugs ga bisa di download cepat yaa admin...,2025-09-21 17:25:01,positif
Aa Wahhab Sholih,3,woyy kenapa habis di update malah jadi ngelag baru buka PRG langsung keluar dari aplikasi gimana sih?,2025-09-21 11:10:53,netral
ainur Rafi kusuma,5,ini offline?,2025-09-21 08:43:33,positif
Mohammad Sodik,3,"saya merasa saya terus mendapatkan ""kontrak dibatalkan""padahal saya juga telah menangani yang tepat dan benar malah dibatalkan terus ini bug atau apa tolong di fix Ama grafiknya juga bagus sih",2025-09-21 01:17:35,netral
INA PUJI ASTUTIK,5,wow bagus banget tapi buat lah lagi jadi ada yang pro tapi gak bayar,2025-09-20 15:15:09,positif
Fauzan Heryantoro,5,seru,2025-09-20 15:00:55,positif
Hasan nyono Nurindho,5,"tolong tambahkan salah satu bandara di Indonesia dan maskapai, saya yakin pemerintah indo tidak akan menarik pajak untuk hal itu",2025-09-20 15:00:50,positif
Sondang t Siagian,4,"mohon diperbaiki bug yg masih ada seperti selesai penanganan pesawat, mobil nya tiba tiba hilang, terus mobil yang jalan di situ situ terus,dan penurunan bagasi dan memasuki bagasi tiba-tiba warnanya berubah mohon untuk di perbaiki dan tambahkan bandara yang ada di seluruh dunia dan tingkatkan grafik nya menjadi lebih baik dan bagus dan mohon grafik bandara nya lebih bagus dan semua nya dan juga, mohon ada kaya simulasi selama penerbangan dari awal sama akhir dan juga ada pergantian yang bawa!!",2025-09-20 11:51:40,positif
Epan Shop Gaming,5,mantap,2025-09-20 09:53:33,positif
Raditya Putra darmawan,5,"bagus gamenya tinggal tambahin 777-300er,a330-300,A330Neo,777X,747 -400 aja",2025-09-20 08:24:46,positif
Anjar Sella,3,gak bisa connect ke akun google play,2025-09-20 07:02:41,netral
Gepi melayang,5,krennnnn,2025-09-20 06:05:04,positif
IJEN EKSPRES,5,bagus bangett gamenya ketagihan saya😁,2025-09-20 00:59:20,positif
AZRIN YUNOS,1,next to you,2025-09-19 17:27:03,negatif
M Dhafa Pradipta Susilo,4,"Please correct the airline's landing and departure sequence. Seriously, a plane that has just taken off is suddenly at the top of the queue for landing. Meanwhile, other airlines are below so that only those airlines land. Please pay attention for a more realistic game.",2025-09-19 15:52:42,positif
Arziki,5,sangat bagus,2025-09-19 09:13:15,positif
Nurhayati Mishartinah,4,"game bagus, cukup menarik buat playernya",2025-09-18 17:33:22,positif
Dafa Fikhar,5,"game nya sangat bagus, saya berharap ada lebih banyak maskapai dari indonesia",2025-09-18 16:36:15,positif
ssatria raisya70,5,game terbaikkk,2025-09-18 14:09:06,positif
Safaraz Faith Ramadhan,5,Please Restore airport reset feature please pls. and I would really appreciate if this game was available for PC/laptop users.,2025-09-18 13:09:35,positif
Yudas Bandel,5,bagus untuk mengisi waktu luang,2025-09-18 10:47:39,positif
Abdul Al ghifarry ahmad,5,tolong perbaiki bug di game nya seperti bandara Saint Maarten saya selalu make itu bandara tpi sering banyak bug dengan ngeleg mohon di perbaiki ya saya sering kena bug muncul map nya hitam gitu mohon di perbaiki ya,2025-09-18 07:37:27,positif
Mira Mira,5,keren bagus banget,2025-09-17 23:25:13,positif
Ahlam Zaki,5,"bagus banget apalagi kalau gak ada bug dan kalau di tambahkan mode sandbox, pasti seru bangett!!🤩🤩🤩",2025-09-17 22:36:37,positif
M.ADLAN.HI.SOFYAN M.ADLAN.HI.SOFYAN,5,enak seperti kerja di bandara dan menjadi ATC,2025-09-17 11:45:33,positif
Arkan,1,"tolong diperbaiki bug ini tolongg, ketika ingin menonton iklan itu akan membuat game crash dan relog, itu sangat menyebalkan, tolong di perbaiki karena saya sangat suka dengan game ini!!",2025-09-17 11:00:08,negatif
Nurohman,5,bagus banget,2025-09-17 10:02:43,positif
Rizky Zaid Nurrohman,1,"I was wondering why the game still stuck in the loading screen. My phone all clean, I deleted any useless photos, check up my wifi, and everything but nothing work. My phone is Redmi note 9. Could fix and tell me what is happening? Is the server down or there's corrupted file? I hope this messages finds the developer well. Thanks. 🙏",2025-09-16 08:51:03,negatif
Roma Uli,5,life of world wide life style,2025-09-16 06:33:04,positif
EkaVenus,5,mantap keren,2025-09-16 00:43:43,positif
Pajar Nurjaman,5,Saya harap update kedepannya ada bandara dari negara Indonesia.....,2025-09-14 14:26:42,positif
Tegar BerkahW,5,sangat sangat bagus aku sangat suka game pesawat ini,2025-09-14 11:59:01,positif
Dzakwan Abdul,5,game ini sangat dinantikan ketika update,2025-09-14 05:54:44,positif
Umar Fayyadh,5,bagus kalo bisa ngendarain pesawat sekalian,2025-09-14 05:13:23,positif
Yen Yen,5,bagus game ini banyak fiturnya seperti mengurus bandara di dunia nyata aku kasih bintang 5,2025-09-14 03:15:19,positif
Muhammad rafi ukasyah,5,"game nya bagus, visualnya bagus, grafikpun bagus (ringan) dan permainannya ber progress. tapi ada yang kurang, yaitu: pekerja nya bisa muncul, bisa ilang ditempat (kasih animasi jalan dari parkiran), coba tambahkan, helikopter (penumpang dan cargo), itu aja kurangnya. tapi overall bagus.",2025-09-14 03:11:07,positif
Dhia Roffif,5,MNATP,2025-09-14 03:03:56,positif
Rizky Kaesal,2,jelek game harus nya kita yg nyetir pesawat nya malah bikin bandara,2025-09-13 10:22:21,negatif
Jefri Yoza,4,Please add rain effect when the plane lands and takes off. And add the new A330-900 plane.,2025-09-12 16:15:47,positif
Kadek Putrawan,5,tolong agar di livery maskapai kita biar bisa di isi nama maskapai di body pesawatnya,2025-09-12 15:45:26,positif
Mesjid jami' Khairul anaam,5,kalau bisa sesuaiin donk kaya main atau kelola bandara beneran kaya di bandara indonesia ada Jt001 terus dari bandara tujuan balik ke bandara kita jt 002 di urut berapa kali menuju tujuan kota atau negara yg sama jadi lebih asik kelola bandaranya,2025-09-12 10:07:49,positif
Rafa Jkt48,5,"aku mau nanya pas update apakah ada bandara cgk soalnya dari pas main sampai sekarang belum terwujud 😅, semoga aja world of airport game yang bagus dan banyak di sukai orang-orang 🤲",2025-09-12 05:46:57,positif
Fahmi Baharudin,4,Tolong kepada dev adakan bandara Internasional indonesia dan perbanyak lagi pesawat² maskapai indonesia,2025-09-11 17:38:48,positif
Moh Alfan Sahuri,4,"tolong lebih di persingkat lagi dapetin exp nya, selebihnya udah bagus",2025-09-11 14:49:13,positif
infosumbarupdate 24,4,keren,2025-09-11 05:15:53,positif
Caryono Maulana,1,bandara Indonesia semuanya 🙏,2025-09-11 04:50:40,negatif
Su Rhaen,5,"kalau boleh tambahkan bandara Soekarno Hatta CGK, kalau boleh sih",2025-09-10 16:22:07,positif
andi dhepari,1,"untuk update berikutnya ketika tombol view di ganti ke tombol view camera tolong pandangan nya di buat tetap otomatis mengarah pada pesawat seperti tombol view lainnya agar tidak memfokuskan pandangan ke pesawat secara manual, dan yang kedua tolong untuk melakukan pertukaran koin abu abu ke koin emas agar mengurangi batas waktu pertukarannya dan tolong juga tambahkan jumlah nominal pertukaran koin emasnya.",2025-09-10 15:57:35,negatif
RenZi 2,5,Bagus 👍,2025-09-09 15:53:22,positif
NDX mobile,5,"MANTAP!!!,BAGUS BANGET! KAYAK PUNYA BANDARA SENDIRI",2025-09-09 12:36:24,positif
Rijam Abiasyah,5,please make jewel changi airport singapore,2025-09-09 07:24:55,positif
Ali Zain,5,Buat dan buka bandara Soekarno Hatta Jakarta dan Achmad Yani Semarang ya,2025-09-09 03:04:13,positif
Abang Dzaky,1,saya kasih bintang 1 karena akun saya hilang malah di ganti dengan akun baru saya tidak terima pokok nya world of airport harus bertanggungjawab itu akun saya dari dulu kembalikan!!!,2025-09-09 00:08:57,negatif
azzam syafiq,5,game bagus tidak ngelag walaupun kadang sering gamenya crash dan sekalian tambahkan bandara Halim Perdanakusuma atau bandara CGK,2025-09-08 09:18:45,positif
Yoga Dharmendra,5,game nya sangat bagus pesawatnya beragam ★★★★✈️,2025-09-08 07:40:45,positif
Channel Gamers,5,Saya berharap ada helikopter juga di game ini dan untuk mobil petugas bandara nya ada tempatnya jadi mobil petugas bandara jalan dari parkiran ke pesawat lalu balik lagi ke parkiran. Tidak tiba-tiba muncul dan tiba-tiba menghilang jika sudah selesai pekerjaannya. Saya berharap ada tampilan camera visual pilot,2025-09-07 17:20:39,positif
Rey Siadari,5,tolong diubah suara mesin saat take off dan landing,2025-09-07 13:15:42,positif
Alam Saputra005z,5,saya sangat suka game ini,2025-09-07 12:26:56,positif
Abew,3,"tahun 2023 saya pemain WoA dan bandara ku sudah banyak lalu saya mengganti divice tahun 2025 dan game berubah total, bandara hilang dan akun saya tidak singkron. alhasil saya memulai dari awal update saat ini ada beberapa yg menurut saya sedikit mengganggu seperti gold emas yg harganya mahal dan pekerja tidak dapat di beli dengan gold perak. Padahal saya mengharapkan game seperti yg di tahun 2023 lebih simple untuk pembelian dan lebih masuk akal. semoga kedepannya dapat di pertimbangankan",2025-09-07 08:14:43,netral
Yeti Irwati,5,baik,2025-09-07 04:26:09,positif
restu andra,5,game nya sangat bagusss sekali,2025-09-07 03:27:19,positif
Samuel Senjaya adrian,5,"seru banget, tapi permasalahanya game nya lebih ke grinding. tapi tetep bagus dan berkualitas.",2025-09-07 03:09:46,positif
Reskiana Riris Siregar,4,"Lapor terjadi bug di bandara IAD, pesawat tidak bisa landing tulisan ""Landasan sedang ditempati"" padahal tidak ada pesawat yang landing, dan untuk pesawat type A320 itu di bagian sayap kadang ada lekukannya kadang tidak ada.. Untuk next update mohon diperbaiki... This Game is very good...",2025-09-07 02:12:11,positif
Fadhil Yusuf,5,top,2025-09-07 00:43:42,positif
Khotimah Imah,5,gila update nya langsung 1 GB👍🏻,2025-09-06 13:58:35,positif
Erick Setyawan,5,gamenya bagus tolong tambahkan bandara Indonesia pliss,2025-09-06 05:37:33,positif
Alif Pujianto,5,good game👍😍,2025-09-05 13:52:51,positif
ZURIAFLA HITAF,5,Semuanya sudah bagus,2025-09-05 08:38:40,positif
Gun Tonigunawan,5,gem nya baguss BNG bikin gem kapal laut dong bira Kren lagii 😊,2025-09-04 16:09:16,positif
Rasya Ggg,5,game nya seru gk buat bosan,2025-09-04 14:59:59,positif
Rafa07,5,"baguss saya enjoy mainya, cuma yang harus di tingkatkan dari segi grafis nya sedikit lagi",2025-09-04 12:09:24,positif
Lukman Hakim,5,"Dear developers, I really hope that Soekarno-Hatta International Airport will be added to Indonesia. Many fans of the World of Airports are eagerly awaiting the Soekarno-Hatta Airport update. I sincerely request that the developers make this happen. Thank you.",2025-09-04 10:49:53,positif
Achmad Romli,5,bagusss bangettt,2025-09-04 06:41:23,positif
Inay Maya,5,kalau boleh tambahin bandara Juanda Surabaya,2025-09-04 04:48:11,positif
Lupa Ingatan,5,"kenapa pesawat yang sudah terbuka tidak ada, armadaku tidak ada semua",2025-09-03 20:33:56,positif
Eye S,4,oke,2025-09-03 14:27:49,positif
aligmotion12,4,maaf ini game nya emang cuman ngatur ngatur kaya bikin bandara gitu yaa? kalo pengen nyetir pesawat nya harus nunggu lvl atau gimana??,2025-09-03 14:22:49,positif
Akbar Habibie,5,sebenarnya game ini bagus tapi karena agak membingungkan player baru jadi perlu waktu untuk adaptasi walaupun lebih suka UI sekarang dibandingkan yang sebelumnya.,2025-09-03 08:26:51,positif
kahfi muhammad,1,Tidak bisa di buka di huawei matpad 12x tolong di update di huawei store,2025-09-03 01:06:26,negatif
Aji Santoso,5,"game bagus, tapi masih ada masalah di pengaturan akun. tolong naikkan hadiah xp setiap kontrak mencapai 5",2025-09-02 20:57:09,positif
Jimmy Pratama,5,"min kenapa kok gak di buat saat pas mau buka bandara baru haru pakai level di bandara sebelum nya atau pakai golt koin kenapa kok gak ngumpulin penumpang dan di apdet selanjutnya tambahkan pesawat Boeing dremlifter,727,717 dan Airbus a220",2025-09-02 15:19:47,positif
Marselinus Kaas,5,menyenangkan,2025-09-02 12:24:46,positif
Alif Rizki,5,Game nya mantepp banya pesawat dari indonesia juga makasi dev udah ciptain game ini 🔥,2025-09-02 04:31:32,positif
Fadil Zakaria,5,saya akan setia di world of airport sampai ada bandara Juanda (sub). semoga di buatin. udah berharap dari dulu,2025-09-01 14:39:10,positif
Popo kuy,2,stuck in loading forever,2025-08-31 17:07:49,negatif
Abdan Idzhasalla,5,"Thanks developer,thiss is game very good and special",2025-08-31 11:01:52,positif
Rahmat Hidayat,5,good games,2025-08-31 07:58:45,positif
Robet Valencia,5,"tolong segera tambahkan bandara di Indonesia seperti Ngurah Rai, Bali dan Soekarno Hatta, Jakarta. dan lebih di perbanyak maskapai domestik indonesia nya juga",2025-08-30 10:15:59,positif
rizqi fikri al-kautsar,5,mantabbb,2025-08-30 00:17:31,positif
Rayhan Ade s,4,game nya bagus tapi grafik nya tolong tingkatin lagi,2025-08-29 15:12:31,positif
Azka Kiranaia,5,basguw mavsrtdp,2025-08-29 00:27:20,positif
Bulee Orlando,1,*tambahkan posisi kamera. *dan terlalu sulit/lama mendapatkan koin pesawat perak dan emasnya. tolong di permudahkan. !!,2025-08-28 14:59:50,negatif
Han,5,kenapa setelah update keluar² terus ya? mengganggu banget,2025-08-28 13:00:25,positif
Andra Firansyah Wahyudin,4,"tolong tambahkan beberapa jenis pesawat lagi yaitu A350, A380, dan beberapa jenis pesawat Ilyushin",2025-08-28 05:11:52,positif
Sony satria Al aziz,3,"bug shagy, tba tiba ada bayangan hadeh",2025-08-27 17:33:01,netral
Angga Kasman,5,anggakasman,2025-08-27 14:12:25,positif
Richard Larope,5,"game sudah keren banget kalau bisa update berikut tambahkan bandara CGK,DPS atau UPG",2025-08-27 11:09:19,positif
nanda saputra,4,update bikin bandara indonesia,2025-08-27 05:00:04,positif
Seblak Nanas,5,"keren, kalo bisa dibuat lebih HD lagi",2025-08-26 18:51:51,positif
Rachmat Maulana SE,5,"gamesnya bagus, saran untuk buat soekarno hatta airport dengan liverynya",2025-08-26 01:15:06,positif
Qasiyah Qasiyah,5,tambahkan bandara CGK Jakarta,2025-08-25 23:27:06,positif
Mhmmd riansyah,5,"Saran, Tolong Bikin Bandara Indonesia, dan pesawat maskapai Indonesia yg belom ada di WOA plisss",2025-08-25 15:18:08,positif
Faiz Ramdhani,3,"gamenya mantap, namun ada bug kayak apron tidak bisa ditempati padahal tidak ada pesawat di apron tersebut, harapannya developer dapat fix kan bug tersebut",2025-08-25 15:17:46,netral
Andi Mardiansyah,5,please else airport Soekarno Hatta Jakarta,2025-08-25 13:47:52,positif
Duka Te apal,5,gamenya bagus tapi tambahin lah bandara soekarno-hatta secepat mungkin ya devolover,2025-08-25 13:18:54,positif
M Aidit,5,طلبت إضافة كاميرا في المطار,2025-08-25 12:56:23,positif
fitrah mohune,5,"bagus untuk mengisi waktu luang, mana bisa liat semua tipe pesawat lagi",2025-08-25 12:03:43,positif
Riko Ramlan,5,"main game ini bikin lupa waktu, saran don buka bandara indonesia CGK atau perbanyak maskapai indonesia",2025-08-25 10:48:55,positif
Jo Hansen,5,"The game is cool, I can learn about flight management, I hope that in this game, Indonesian international airports in Jakarta and Bali will soon be built so that more people will play this game.",2025-08-25 09:01:37,positif
Nanda Yogi Firnanda,4,"Secara grafik sudah oke, tapi tolong developer tambahkan maskapai rusia mungkin Aeroflot atau Rossiya Airlines, terimakasih.",2025-08-25 05:04:52,positif
Ary S,4,"setiap peningkatan ke bandara baru, kenapa çhip tersisa tidak disertakan?",2025-08-25 02:22:59,positif
Damar Hapsoro,2,"saya peringatkan sekali lagi tolong lebih dipermudah untuk mendapatkan koin emas, kami tidak punya banyak uang mengingat harga untung 1 keping cukup mahal di negara kami apalagi kami butuh 12-16 keping untuk 1 bandara saja. mohon ada cara tertentu untuk memperoleh koin emas",2025-08-25 01:32:08,negatif
Didit Saputra,5,Game yang sangat memuaskan dan lebih ditingkatkan lagi untuk grafik dan bandaranya. Terima kasih,2025-08-25 00:59:40,positif
Asmar Gunawan,5,"permainan yang sangat bagus terbebas dari iklan, semoga kedepan nya tetap begitu dan bisa menambahkan agar kita bisa merubah warna pesawat sendiri sesuai yang di inginkan dan tolong variasi pesawat jangan cuman itu² aja",2025-08-25 00:37:53,positif
Bustomi jr,5,bagus gameplay nya.. detail nya mantap juga. kutunggu update an yg lebih baik,2025-08-24 23:58:44,positif
jek284,5,Pokoknya jadi suka id : KimosJepang,2025-08-24 20:57:41,positif
Naufal Zaid,5,"Saran perbaikan untuk pesawat Boeing 752 : 1. Thrust Reverser tidak bekerja 2. Saat pushback titik putar roda belakang berada di sayap bukan di roda, sehingga roda terlihat terseret kesamping saat berbelok mundur. Airbus Beluga (A35T) : • Hidrolik mobil kargo ground crew tidak terangkat ke atas saat bongkar-muat Saran penambahan jenis pesawat : • A339 (a330neo) sangat disayangkan pesawat ini belum dihadirkan di jajaran seri ""neo"" walaupun operatornya tidak begitu banyak untuk jenis pesawat ini",2025-08-24 18:04:13,positif
Muhammad Radit,4,tolong lah update koin uang nya bisa di pake di bandara mana saja saya cape ngumpul uang nya plisss tolong lah koin hijau nya bisa di pake di bandara lain saya cape ngumpul nya plissss 😭😭,2025-08-24 14:11:10,positif
Angga Kasman,5,Anggakasman,2025-08-23 14:35:35,positif
Rizky Wahyu,4,"Gamenya sudah bagus. hanya saja ntah hanya Di device saya atau yang lain juga pernah mengalami, terkadang terjadi glitch saat bermain. jadi harus restart ulang gamenya..",2025-08-23 12:48:27,positif
